OCEAN,SAMPLEID,LATITUDE,LONGITUDE,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,FEO_TOTAL,MGO,CAO,NA2O,K2O,P2O5,MNO
Atlantic,OWE1960-W-5,0.93,-29.37,,,,,,,,,,,,0.03,,
Atlantic,OWE1960-W-5,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,OWE1960-PH-I,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,OWE1960-PH-I,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,OWE1960-PI-I,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,OWE1960-PI-I,0.93,-29.37,,,,,,,,,,,,,,
Atlantic,AII0107-040-035,-54.42,1.53,,,,,,,,,,,,,,
Atlantic,ISL1176-059-026,-54.06,6.50,46.39,0.04,1.97,,,,7.90,7.90,41.51,0.86,,,0.03,0.15
Atlantic,ISL1176-059-026,-54.06,6.50,,,,,,,,,,,,,,
Atlantic,AII0107-061-083CORE,-53.42,9.20,,,,,,,,,,,,,,
Atlantic,AII0107-061-083RIM,-53.42,9.20,,,,,,,,,,,,,,
Atlantic,AII0020-009-001,10.73,-43.17,,,,,,,,,,,,,,
Atlantic,AII0020-009-001,10.73,-43.17,39.71,0.06,2.59,7.31,,1.30,,7.88,33.15,1.52,0.28,0.06,0.02,0.12
Atlantic,ODP0153-0920D-010R-004/031-035,23.34,-45.02,,,,,,,,,,,,,,
Atlantic,ODP0153-0920D-010R-004/031-035,23.34,-45.02,45.38,,1.71,8.93,,,,8.93,42.87,0.84,,,,
Atlantic,ODP0153-0920D-010R-004/031-035,23.34,-45.02,,,,,,,,,,,,,,
Atlantic,ODP0153-0920D-011R-004/023-027,23.34,-45.02,,,,,,,,,,,,,,
Atlantic,ODP0153-0920D-011R-004/023-027,23.34,-45.02,45.00,,2.03,8.91,,,,8.91,42.30,1.51,,,,
Atlantic,ODP0153-0920D-017R-001/025-029,23.34,-45.02,,,,,,,,,,,,,,
Atlantic,ODP0153-0920D-017R-001/025-029,23.34,-45.02,45.50,,2.72,10.22,,,,10.22,39.53,1.62,,,,
Atlantic,ODP0153-0920D-022R-002/050-050,23.34,-45.02,,,,,,,,,,,,,,
Atlantic,ODP0153-0920D-022R-002/050-050,23.34,-45.02,44.69,,1.72,8.70,,,,8.70,43.74,0.89,,,,
Atlantic,ODP0153-0920D-022R-005/070-074,23.34,-45.02,,,,,,,,,,,,,,
